wl,n,k
0.182,1.467864737,0
0.1915,1.440665462,0
0.2009,1.422622743,0
0.2104,1.409238582,0
0.2199,1.398913606,0
0.2294,1.390671669,0
0.2388,1.383992667,0
0.2483,1.378359422,0
0.2578,1.373591715,0
0.2672,1.369546191,0
0.2767,1.366003494,0
0.2862,1.362908781,0
0.2956,1.360211335,0
0.3051,1.357793498,0
0.3146,1.355637482,0
0.3241,1.353704423,0
0.3335,1.351980122,0
0.343,1.350402081,0
0.3525,1.348967971,0
0.3619,1.347672857,0
0.3714,1.346474039,0
0.3809,1.345372946,0
0.3903,1.344368747,0
0.3998,1.343430623,0
0.4093,1.342561451,0
0.4188,1.341754074,0
0.4282,1.341009897,0
0.4377,1.340307667,0
0.4472,1.339650771,0
0.4566,1.339041247,0
0.4661,1.338462399,0
0.4756,1.337917578,0
0.485,1.337409059,0
0.4945,1.336923383,0
0.504,1.336463728,0
0.5135,1.336027948,0
0.5229,1.335618357,0
0.5324,1.335224508,0
0.5419,1.334849288,0
0.5513,1.334494945,0
0.5608,1.334152648,0
0.5703,1.333825063,0
0.5797,1.333514343,0
0.5892,1.333212893,0
0.5987,1.332923179,0
0.6082,1.332644366,0
0.6176,1.332378466,0
0.6271,1.332119122,0
0.6366,1.331868563,0
0.646,1.331628699,0
0.6555,1.331393875,0
0.665,1.33116617,0
0.6744,1.330947402,0
0.6839,1.330732475,0
0.6934,1.33052334,0
0.7029,1.330319613,0
0.7123,1.330123001,0
0.7218,1.329928992,0
0.7313,1.329739391,0
0.7407,1.329555839,0
0.7502,1.329374159,0
0.7597,1.329196069,0
0.7691,1.329023151,0
0.7786,1.328851504,0
0.7881,1.32868277,0
0.7976,1.32851675,0
0.807,1.328354964,0
0.8165,1.328193793,0
0.826,1.328034804,0
0.8354,1.327879479,0
0.8449,1.327724365,0
0.8544,1.327570983,0
0.8638,1.327420786,0
0.8733,1.327270452,0
0.8828,1.327121465,0
0.8923,1.326973709,0
0.9017,1.326828612,0
0.9112,1.326682981,0
0.9207,1.326538266,0
0.9301,1.326395882,0
0.9396,1.326252707,0
0.9491,1.326110173,0
0.9585,1.325969688,0
0.968,1.325828181,0
0.9775,1.325687073,0
0.987,1.32554629,0
0.9964,1.325407237,0
1.006,1.325265411,0
1.015,1.325132559,0
1.025,1.324985,0
1.034,1.324852191,0
1.044,1.324704551,0
1.053,1.324571555,0
1.063,1.324423588,0
1.072,1.324290192,0
1.082,1.324141665,0
1.091,1.324007666,0
1.101,1.323858361,0
1.11,1.323723566,0
1.12,1.323573275,0
1.129,1.323437501,0
